objects,flights,depth,unique_assets,threaded,removals,lifecycle_ms,retirement_ms,compacted_elements,compacted_owner_bytes
100000,1,8,true,true,1,0.651400,0.001800,100000,799992
100000,1,8,true,true,1000,0.875700,0.234800,99999,791992
100000,1,8,true,true,50000,12.191700,6.638800,98999,391992
100000,2,1,false,false,1,0.722300,0.000100,100000,799992
100000,2,1,false,false,1000,0.738800,0.000100,99999,791992
100000,2,1,false,false,50000,7.049600,0.001000,98999,391992
100000,2,1,false,true,1,0.641300,0.000200,100000,799992
100000,2,1,false,true,1000,0.727200,0.000100,99999,791992
100000,2,1,false,true,50000,7.405500,0.000500,98999,391992
100000,2,1,true,false,1,0.634600,0.001700,100000,799992
100000,2,1,true,false,1000,0.941600,0.187800,99999,791992
100000,2,1,true,false,50000,11.731900,6.964500,98999,391992
100000,2,1,true,true,1,0.652000,0.002400,100000,799992
100000,2,1,true,true,1000,0.893600,0.188400,99999,791992
100000,2,1,true,true,50000,12.275700,7.258100,98999,391992
100000,2,8,false,false,1,0.625600,0.000100,100000,799992
100000,2,8,false,false,1000,0.732900,0.000100,99999,791992
100000,2,8,false,false,50000,7.773700,0.000300,98999,391992
100000,2,8,false,true,1,0.932500,0.000200,100000,799992
100000,2,8,false,true,1000,0.921200,0.000500,99999,791992
100000,2,8,false,true,50000,9.904600,0.000800,98999,391992
100000,2,8,true,false,1,0.659400,0.001500,100000,799992
100000,2,8,true,false,1000,0.880200,0.181800,99999,791992
100000,2,8,true,false,50000,13.025900,7.733600,98999,391992
100000,2,8,true,true,1,0.697200,0.001700,100000,799992
100000,2,8,true,true,1000,0.868900,0.185700,99999,791992
100000,2,8,true,true,50000,12.710200,6.749500,98999,391992
100000,3,1,false,false,1,1.042900,0.000100,100000,799992
100000,3,1,false,false,1000,0.812700,0.000100,99999,791992
100000,3,1,false,false,50000,7.240900,0.000400,98999,391992
100000,3,1,false,true,1,0.660400,0.000200,100000,799992
100000,3,1,false,true,1000,1.015100,0.000100,99999,791992
100000,3,1,false,true,50000,7.469200,0.000500,98999,391992
100000,3,1,true,false,1,0.673300,0.001600,100000,799992
100000,3,1,true,false,1000,0.869700,0.184200,99999,791992
100000,3,1,true,false,50000,11.931800,6.471700,98999,391992
100000,3,1,true,true,1,0.815200,0.001900,100000,799992
100000,3,1,true,true,1000,1.083400,0.192700,99999,791992
100000,3,1,true,true,50000,11.664100,6.558400,98999,391992
100000,3,8,false,false,1,0.614400,0.000000,100000,799992
100000,3,8,false,false,1000,0.714900,0.000000,99999,791992
100000,3,8,false,false,50000,7.970100,0.000700,98999,391992
100000,3,8,false,true,1,0.636100,0.000200,100000,799992
100000,3,8,false,true,1000,0.797400,0.000000,99999,791992
100000,3,8,false,true,50000,7.410900,0.000400,98999,391992
100000,3,8,true,false,1,0.705900,0.001900,100000,799992
100000,3,8,true,false,1000,0.946400,0.184800,99999,791992
100000,3,8,true,false,50000,12.775400,7.359600,98999,391992
100000,3,8,true,true,1,0.665000,0.002000,100000,799992
100000,3,8,true,true,1000,0.915600,0.200000,99999,791992
100000,3,8,true,true,50000,13.209600,7.294000,98999,391992
