objects,flights,depth,unique_assets,threaded,changes,views,tick_median_ms,tick_p95_ms,lifecycle_median_ms,lifecycle_p95_ms,collect_seal_median_ms,collect_seal_p95_ms,apply_median_ms,apply_p95_ms,view_median_ms,view_p95_ms,retirement_median_ms,retirement_p95_ms,allocations_7_samples,allocated_bytes_7_samples,gathers_warmup_and_7_samples,matrix_evaluations_warmup_and_7_samples
10000,1,1,true,true,10000,3,0.212200,0.352100,0.000600,0.000900,0.898900,1.093900,0.182700,0.204900,0.149500,0.200100,0.000500,0.000600,0,0,90000,90000
10000,1,8,false,false,0,1,0.080800,0.115600,0.000000,0.000100,0.000100,0.000400,0.000100,0.000100,0.046000,0.063800,0.000100,0.000100,0,0,0,0
10000,1,8,false,false,0,3,0.074100,0.092800,0.000100,0.000100,0.000100,0.000200,0.000100,0.000100,0.157700,0.275100,0.000100,0.000200,0,0,0,0
10000,1,8,false,false,1,1,0.073000,0.074000,0.000100,0.000100,0.002800,0.002800,0.000200,0.000300,0.052500,0.052600,0.000100,0.000200,0,0,72,324
10000,1,8,false,false,1,3,0.073000,0.073300,0.000000,0.000000,0.002800,0.002900,0.000200,0.000300,0.157500,0.189200,0.000100,0.000200,0,0,72,324
10000,1,8,false,false,100,1,0.077000,0.077000,0.000000,0.000100,0.032600,0.032800,0.001800,0.002700,0.052100,0.108700,0.000100,0.000200,0,0,936,4212
10000,1,8,false,false,100,3,0.076700,0.077600,0.000100,0.000100,0.032500,0.034600,0.001800,0.001800,0.157100,0.157200,0.000100,0.000200,0,0,936,4212
10000,1,8,false,false,10000,1,0.512700,0.617500,0.000200,0.001000,3.305600,3.477500,0.196900,0.273200,0.062000,0.115300,0.000100,0.000700,0,0,90000,405000
10000,1,8,false,false,10000,3,0.582600,0.729300,0.000300,0.001200,3.492600,3.702700,0.214600,0.262600,0.177000,0.196000,0.000300,0.000500,0,0,90000,405000
10000,1,8,false,true,0,1,0.071000,0.113000,0.000400,0.000400,0.000300,0.000300,0.000400,0.000500,0.052800,0.067000,0.000500,0.000500,0,0,0,0
10000,1,8,false,true,0,3,0.080900,0.096900,0.000400,0.000400,0.000300,0.000400,0.000400,0.000500,0.170900,0.190700,0.000500,0.000600,0,0,0,0
10000,1,8,false,true,1,1,0.079600,0.082300,0.000100,0.000400,0.003000,0.003600,0.000700,0.000800,0.054100,0.054200,0.000100,0.000200,0,0,72,324
10000,1,8,false,true,1,3,0.094100,0.119000,0.000400,0.000500,0.003800,0.004300,0.000500,0.000900,0.166500,0.205300,0.000300,0.000600,0,0,72,324
10000,1,8,false,true,100,1,0.073300,0.075900,0.000100,0.000200,0.034100,0.034300,0.002100,0.002100,0.054400,0.055100,0.000200,0.000200,0,0,936,4212
10000,1,8,false,true,100,3,0.079700,0.117600,0.000100,0.000500,0.034100,0.036500,0.002100,0.002800,0.163500,0.164800,0.000100,0.001000,0,0,936,4212
10000,1,8,false,true,10000,1,0.592200,0.713700,0.000700,0.000800,3.374200,3.554300,0.214900,0.302700,0.068200,0.077900,0.000700,0.001000,0,0,90000,405000
10000,1,8,false,true,10000,3,0.552600,0.577100,0.000600,0.001100,3.337700,3.537800,0.207800,0.280200,0.168500,0.276700,0.000700,0.001200,0,0,90000,405000
10000,1,8,true,false,0,1,0.068700,0.098900,0.000100,0.000100,0.000100,0.000200,0.000100,0.000100,0.045900,0.059800,0.000100,0.000200,0,0,0,0
10000,1,8,true,false,0,3,0.068700,0.069400,0.000100,0.000100,0.000100,0.015000,0.000000,0.000100,0.138100,0.150600,0.000100,0.000100,0,0,0,0
10000,1,8,true,false,1,1,0.068600,0.069200,0.000100,0.000100,0.002800,0.002800,0.000200,0.000300,0.046000,0.046400,0.000100,0.000200,0,0,72,324
10000,1,8,true,false,1,3,0.070200,0.111400,0.000100,0.000100,0.002800,0.019700,0.000200,0.000200,0.138100,0.172400,0.000100,0.000100,0,0,72,324
10000,1,8,true,false,100,1,0.072600,0.073500,0.000100,0.000100,0.032500,0.032600,0.001700,0.001800,0.045700,0.046300,0.000100,0.000100,0,0,936,4212
10000,1,8,true,false,100,3,0.072600,0.073200,0.000100,0.000100,0.032700,0.033600,0.001700,0.001800,0.137700,0.222500,0.000100,0.000200,0,0,936,4212
10000,1,8,true,false,10000,1,0.531400,0.682700,0.000200,0.000400,3.303200,3.691900,0.197700,0.209700,0.063200,0.100100,0.000100,0.000400,0,0,90000,405000
10000,1,8,true,false,10000,3,0.578500,0.780500,0.000400,0.000900,3.381300,3.580500,0.209400,0.300400,0.152200,0.221400,0.000200,0.001100,0,0,90000,405000
10000,1,8,true,true,0,1,0.072700,0.086100,0.000400,0.000400,0.000300,0.000300,0.000300,0.000400,0.041100,0.056800,0.000500,0.000600,0,0,0,0
10000,1,8,true,true,0,3,0.073400,0.093800,0.000400,0.000400,0.000300,0.000300,0.000300,0.000400,0.129100,0.135600,0.000500,0.000500,0,0,0,0
10000,1,8,true,true,1,1,0.073200,0.074100,0.000400,0.000400,0.003500,0.003500,0.000600,0.000700,0.046300,0.055400,0.000500,0.000500,0,0,72,324
10000,1,8,true,true,1,3,0.094700,0.132500,0.000400,0.000500,0.003700,0.004600,0.000700,0.000700,0.158700,0.184400,0.000400,0.000900,0,0,72,324
10000,1,8,true,true,100,1,0.079900,0.113500,0.000100,0.000100,0.034800,0.035200,0.002100,0.002500,0.042800,0.045600,0.000100,0.000200,0,0,936,4212
10000,1,8,true,true,100,3,0.076200,0.087300,0.000100,0.000400,0.034800,0.036500,0.002100,0.002400,0.127300,0.138400,0.000200,0.001800,0,0,936,4212
10000,1,8,true,true,10000,1,0.556200,0.762800,0.000600,0.000900,3.402800,3.467700,0.205100,0.210700,0.057000,0.062200,0.000500,0.001000,0,0,90000,405000
